#SampleID	ColRep	control	tokeep	Temperature	Long	Lat	Replicate	NAT	TemperatureEnvironmental	PHOS	DNAwhirlpak	SalinityEnviron	pHEnviron	DNAnotes	Year	Extrmethod	Polymerase	Date	Month	Day	TempAir	CHL	Person	Bottle	ChlEnviron	DOEnviron	well	Site	SiteCode	StationName	NIT	Description
E-TB-2016-3	E-TB-2016	n	Y	18	-123.258216	49.273524	3	45	18	no_data	45	16	7.35	NA	2016	s	phusion	07-Jun-16	6	7	19	28	M	O	6.736568256	9.83	E5	TowerBeach	TB	no_data	43	brack
E-TB-2016-1	E-TB-2016	n	Y	18	-123.258216	49.273524	1	4	18	no_data	39	16	7.35	NA	2016	s	phusion	07-Jun-16	6	7	19	31	M	P	6.39742752	9.83	A5	TowerBeach	TB	no_data	33	brack
R-ls-4-28-r1	E-LS-428	n	Y	10.04	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	3	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	3.4303856	11.09	no_data	no_data	no_data	LadnerSlough	no_data	River
R-ls-4-28-r3	E-LS-428	n	Y	10.04	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	3	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	3.43574	11.09	no_data	no_data	no_data	LadnerSlough	no_data	River
R-ls-4-28-r2	E-LS-428	n	Y	10.04	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	3	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	3.43574	11.09	no_data	no_data	no_data	LadnerSlough	no_data	River
E-s-PM-2-Aug	E-PM-Aug-2014	n	Y	18.8	-122.889158	49.291693	no_data	no_data	no_data	no_data	no_data	25	7.85	no_data	2014	s	prime	no_data	8	13	no_data	no_data	M	no_data	13.43008	6.9	no_data	no_data	no_data	PortMoody	no_data	Sea
R-mt-4-28-r1	E-MT-428	n	Y	9.8	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	0.5	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	1.4581816	11.78	no_data	no_data	no_data	MasseyTunnel	no_data	River
R-J-5-26-r2	E-JT-526	n	Y	14.2	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	2	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	0.7264136	10.87	no_data	no_data	no_data	Jetty	no_data	River
R-ls-5-26-r3	E-LS-526	n	Y	14.9	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	0	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	3.5107016	9.34	no_data	no_data	no_data	Ladner Slough	no_data	River
S-st-6-5-27-r1	E-SOG-6527	n	Y	12.5	-123.785207	49.208873	no_data	no_data	no_data	no_data	no_data	25	8.5	no_data	2015	s	prime	no_data	5	27	no_data	no_data	F	no_data	0.3712384	10.4	no_data	no_data	no_data	SOG6	no_data	Sea
R-ls-5-26-r1	E-LS-526	n	Y	14.9	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	0	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	3.0823496	9.34	no_data	no_data	no_data	Ladner Slough	no_data	River
T7B	E-T7-2014	n	Y	26.5	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	8.64	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	10.72	11.49	no_data	no_data	no_data	TroutLake	no_data	Lake
T7C	E-T7-2014	n	Y	26.5	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	8.64	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	10.72	11.49	no_data	no_data	no_data	TroutLake	no_data	Lake
R-mt-4-28-r2	E-MT-428	n	Y	9.8	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	0.5	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	1.3153976	11.78	no_data	no_data	no_data	MasseyTunnel	no_data	River
Tca7A	E-Tca-7-2014	n	Y	NA	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	NA	no_data	2014	s	prime	no_data	7	9	no_data	no_data	M	no_data	NA	NA	no_data	no_data	no_data	TroutLake	no_data	Lake
Tca7B	E-Tca-7-2014	n	Y	NA	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	NA	no_data	2014	s	prime	no_data	7	9	no_data	no_data	M	no_data	NA	NA	no_data	no_data	no_data	TroutLake	no_data	Lake
Tca7C	E-Tca-7-2014	n	Y	NA	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	NA	no_data	2014	s	prime	no_data	7	9	no_data	no_data	M	no_data	NA	NA	no_data	no_data	no_data	TroutLake	no_data	Lake
P7C	E-PM-Jula-2014	n	Y	20.3	-122.889158	49.291693	no_data	no_data	no_data	no_data	no_data	14.9	8.57	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	11.53	9.69	no_data	no_data	no_data	PortMoody	no_data	Sea
P7A	E-PM-Jula-2014	n	Y	20.3	-122.889158	49.291693	no_data	no_data	no_data	no_data	no_data	14.9	8.57	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	11.53	9.69	no_data	no_data	no_data	PortMoody	no_data	Sea
S-st-6-4-24-r1	E-SOG-6424	n	Y	11.38	-123.623052	49.172013	no_data	no_data	no_data	no_data	no_data	27	8.4	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.571136	NA	no_data	SOG6	SOG6	SOG6	no_data	Sea
S-st-6-4-24-r2	E-SOG-6424	n	Y	11.39	-123.623052	49.172013	no_data	no_data	no_data	no_data	no_data	27	8.4	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.62468	NA	no_data	SOG6	SOG6	SOG6	no_data	Sea
S-st-6-4-24-r3	E-SOG-6424	n	Y	11.41	-123.623052	49.172013	no_data	no_data	no_data	no_data	no_data	27	8.4	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.62468	NA	no_data	SOG6	SOG6	SOG6	no_data	Sea
T7A	E-T7-2014	n	Y	26.5	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	8.64	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	10.72	11.49	no_data	no_data	no_data	TroutLake	no_data	Lake
E-PM-2016-3	E-PM-2016	n	Y	14.8	-122.889158	49.291693	3	3	14.8	no_data	36	25	7.49	NA	2016	s	phusion	09-Jun-16	6	9		11	M	O	28.44157536	12.67	F4	PortMoody	PM	no_data	12	marine
E-DU-2016-3	E-DU-2016	n	Y	15	-123.182512	49.332475	3	7	15	no_data	48	15	7.75	NA	2016	s	phusion	08-Jun-16	6	8		20	M	G	14.23620317	11	H5	Dundarave	DU	no_data	45	brack
R-ds-4-28-r2	E-DS-428	n	Y	11	-123.061783	49.117541	no_data	no_data	no_data	no_data	no_data	2	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	5.3793872	10.95	no_data	no_data	no_data	DeasSlough	no_data	River
R-wp-4-28-r2	E-WP-428	n	Y	10	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	5	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	1.6848512	11.47	no_data	no_data	no_data	WellingtonPoint	no_data	River
E-CR-2016-1	E-CR-2016	n	Y	15.6	-123.129409	49.328539	1	38	15.6	no_data	9	2	6.15	NA	2016	p	phusion	08-Jun-16	6	8		19	M	P	1.353479846	10.12	A2	CapilanoPacificTrail	CR	no_data	41	fresh
R-ds-4-28-r1	E-DS-428	n	Y	11	-123.061783	49.117541	no_data	no_data	no_data	no_data	no_data	2	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	5.024212	10.95	no_data	no_data	no_data	DeasSlough	no_data	River
E-CR-2016-3	E-CR-2016	n	Y	15.6	-123.129409	49.328539	3	42	15.6	no_data	5	2	6.15	NA	2016	p	phusion	08-Jun-16	6	8		21	M	K	1.249425302	10.12	E1	CapilanoPacificTrail	CR	no_data	49	fresh
E-CR-2016-2	E-CR-2016	n	Y	15.6	-123.129409	49.328539	2	36	15.6	no_data	7	2	6.15	NA	2016	p	phusion	08-Jun-16	6	8		17	M	L	1.227843619	10.12	G1	CapilanoPacificTrail	CR	no_data	16	fresh
E-DU-2016-1	E-DU-2016	n	Y	15	-123.182512	49.332475	1	32	15	no_data	10	15	7.75	NA	2016	p	phusion	08-Jun-16	6	8		23	M	B	19.83587918	11	B2	Dundarave	DU	no_data	11	brack
E-VP-2016-2	E-VP-2016	n	Y	19.8	-123.146222	49.278505	2	23	19.8	no_data	40	17	7.75	NA	2016	s	phusion	07-Jun-16	6	7	23	36	M	E	12.10115808	11.94	B5	VanierPark	VP	no_data	36	brack
E-VP-2016-3	E-VP-2016	n	Y	19.8	-123.146222	49.278505	3	37	19.8	no_data	35	17	7.75	NA	2016	s	phusion	07-Jun-16	6	7	23	37	M	Q	12.17823552	11.94	E4	VanierPark	VP	no_data	40	brack
E-VP-2016-1	E-VP-2016	n	Y	19.8	-123.146222	49.278505	1	13	19.8	no_data	25	17	7.75	spilled	2016	s	phusion	07-Jun-16	6	7	23	39	M	K	13.18024224	11.94	A4	VanierPark	VP	no_data	13	brack
E-TL-2016-1	E-TL-2016	n	Y	28.5	-123.061364	49.255245	1	11	28.5	no_data	21	0	6.44	400	2016	p	phusion	06-Jun-16	6	6	18	46	M	O	11.60015472	12.74	E3	TroutLake	TL	no_data	25	fresh
E-TL-2016-2	E-TL-2016	n	Y	28.5	-123.061364	49.255245	2	15	28.5	no_data	17	0	6.44	400	2016	s	phusion	06-Jun-16	6	6	18	43	M	K	14.12829475	12.74	A3	TroutLake	TL	no_data	4	fresh
E-TL-2016-3	E-TL-2016	n	Y	28.5	-123.061364	49.255245	3	?	28.5	no_data	23	0	6.44	400	2016	s	phusion	06-Jun-16	6	6	18	3	M	G	NA	12.74	G3	TroutLake	TL	no_data	34	fresh
S-st-1-5-27-r1	E-SOG-1527	n	Y	12.5	-123.170781	49.005458	no_data	no_data	no_data	no_data	no_data	15	8	no_data	2015	s	prime	no_data	5	27	no_data	no_data	F	no_data	2.4416064	10.1	no_data	no_data	no_data	SOG1	no_data	Plume
S-st-1-5-27-r2	E-SOG-1527	n	Y	12.5	-123.170781	49.005458	no_data	no_data	no_data	no_data	no_data	15	8	no_data	2015	s	prime	no_data	5	27	no_data	no_data	F	no_data	2.1381904	10.1	no_data	no_data	no_data	SOG1	no_data	Plume
S-st-1-5-27-r3	E-SOG-1527	n	Y	12.5	-123.170781	49.005458	no_data	no_data	no_data	no_data	no_data	15	8	no_data	2015	s	prime	no_data	5	27	no_data	no_data	F	no_data	2.1381904	10.1	no_data	no_data	no_data	SOG1	no_data	Plume
E-f-TL-3-Aug	E-TL-Aug-2014	n	Y	20.9	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	6.33	no_data	2014	s	prime	no_data	8	15	no_data	no_data	M	no_data	26.00552	3.57	no_data	no_data	no_data	TroutLake	no_data	Lake
S-st-4-6-19-r3	E-SOG-4619	n	Y	17.165	-123.452469	49.107138	no_data	no_data	no_data	no_data	no_data	18	8.21	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	0.7728184	10.9	no_data	no_data	no_data	SOG4	no_data	Sea
S-st-4-6-19-r2	E-SOG-4619	n	Y	17.187	-123.452469	49.107138	no_data	no_data	no_data	no_data	no_data	18	8.21	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	0.7728184	10.9	no_data	no_data	no_data	SOG4	no_data	Sea
S-st-4-6-19-r1	E-SOG-4619	n	Y	17.191	-123.452469	49.107138	no_data	no_data	no_data	no_data	no_data	18	8.21	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	0.7799576	10.9	no_data	no_data	no_data	SOG4	no_data	Sea
TC7B	E-TC-2014	n	Y	21	-123.039279	49.014764	no_data	no_data	no_data	no_data	no_data	28	8.1	no_data	2014	s	prime	no_data	7	31	no_data	no_data	M	no_data	0.59	9.85	no_data	no_data	no_data	TsawwassenCent	no_data	Sea
TC7C	E-TC-2014	n	Y	21	-123.039279	49.014764	no_data	no_data	no_data	no_data	no_data	28	8.1	no_data	2014	s	prime	no_data	7	31	no_data	no_data	M	no_data	0.59	9.85	no_data	no_data	no_data	TsawwassenCent	no_data	Sea
E-b-WV-1-Aug	E-WV-Aug-2014	n	Y	17.9	-123.274147	49.355801	no_data	no_data	no_data	no_data	no_data	20	7.91	no_data	2014	s	prime	no_data	8	14	no_data	no_data	M	no_data	5.245058	8.82	no_data	no_data	no_data	WestVan	no_data	Sea
S-st-7-4-24-r1	E-SOG-7424	n	Y	11.04	-123.680464	49.189396	no_data	no_data	no_data	no_data	no_data	30	8.6	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.3408968	NA	no_data	SOG7	SOG7	SOG7	no_data	Sea
S-st-7-4-24-r3	E-SOG-7424	n	Y	11	-123.680464	49.189396	no_data	no_data	no_data	no_data	no_data	30	8.6	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.3462512	NA	no_data	SOG7	SOG7	SOG7	no_data	Sea
S-st-7-4-24-r2	E-SOG-7424	n	Y	11.02	-123.680464	49.189396	no_data	no_data	no_data	no_data	no_data	30	8.6	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.3462512	NA	no_data	SOG7	SOG7	SOG7	no_data	Sea
S-st-6-5-27-r2	E-SOG-6527	n	Y	12.5	-123.785207	49.208873	no_data	no_data	no_data	no_data	no_data	25	8.5	no_data	2015	s	prime	no_data	5	27	no_data	no_data	F	no_data	0.428352	10.4	no_data	no_data	no_data	SOG6	no_data	Sea
R-wp-5-26-r1	E-WP-526	n	Y	14	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	2	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	1.7883696	10.78	no_data	no_data	no_data	Wellington Point	no_data	River
R-wp-5-26-r3	E-WP-526	n	Y	14	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	2	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	1.508156	10.78	no_data	no_data	no_data	Wellington Point	no_data	River
R-wp-5-26-r2	E-WP-526	n	Y	14	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	2	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	1.508156	10.78	no_data	Wellington Point	WP	Wellington Point	no_data	River
R-mt-5-26-r2	E-MT-526	n	Y	13.7	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	0	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	0.6478824	10.6	no_data	no_data	no_data	Massey Tunnel	no_data	River
R-mt-5-26-r3	E-MT-526	n	Y	13.7	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	0	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	0.6478824	10.6	no_data	no_data	no_data	Massey Tunnel	no_data	River
R-mt-5-26-r1	E-MT-526	n	Y	13.7	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	0	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	0.9780704	10.6	no_data	no_data	no_data	Massey Tunnel	no_data	River
E-f-TL-3-Jul-a	E-TL-Jul-2014	n	Y	28.8	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	9.17	no_data	2014	s	prime	no_data	7	9	no_data	no_data	M	no_data	36.95308	10.44	no_data	no_data	no_data	TroutLake	no_data	Lake
S-st-1-4-24-r2	E-SOG-1424	n	Y	11.77	-123.22058	49.010189	no_data	no_data	no_data	no_data	no_data	26	8.5	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	1.704484	NA	no_data	no_data	no_data	SOG1	no_data	Sea
E-PM-2016-2	E-PM-2016	n	Y	14.8	-122.889158	49.291693	2	35	14.8	no_data	24	25	7.49	NA	2016	s	phusion	09-Jun-16	6	9		13	M	J	26.977104	12.67	H3	PortMoody	PM	no_data	no_data	marine
R-Jt-6-23-r3	E-JT-623	n	Y	16.9	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	3	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	0.8138688	10.17	no_data	no_data	no_data	Jetty	no_data	River
R-Jt-6-23-r2	E-JT-623	n	Y	16.9	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	3	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	0.8138688	10.17	no_data	no_data	no_data	Jetty	no_data	River
R-Jt-6-23-r1	E-JT-623	n	Y	16.9	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	3	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	0.7728184	10.17	no_data	no_data	no_data	Jetty	no_data	River
S-st-6-6-19-r1	E-SOG-6619	n	Y	15.425	-123.808121	49.213817	no_data	no_data	no_data	no_data	no_data	30	8.41	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	2.8592496	10.9	no_data	no_data	no_data	SOG6	no_data	Sea
E-BA-2016-1	E-BA-2016	n	Y	14.6	-122.928592	49.313135	1	22	14.6	no_data	18	26	7.58	NA	2016	s	phusion	09-Jun-16	6	9		18	M	D	19.80890208	12	B3	BelcarraArea	BA	no_data	no_data	marine
S-st-3-6-19-r1	E-SOG-3619	n	Y	17.373	-123.39255	49.082193	no_data	no_data	no_data	no_data	no_data	13	8.01	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	0.7032112	10.7	no_data	no_data	no_data	SOG3	no_data	Plume
S-st-3-6-19-r2	E-SOG-3619	n	Y	17.371	-123.39255	49.082193	no_data	no_data	no_data	no_data	no_data	13	8.01	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	0.7210592	10.7	no_data	no_data	no_data	SOG3	no_data	Plume
S-st-3-6-19-r3	E-SOG-3619	n	Y	17.461	-123.39255	49.082193	no_data	no_data	no_data	no_data	no_data	13	8.01	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	0.7210592	10.7	no_data	no_data	no_data	SOG3	no_data	Plume
S-st-6-6-19-r2	E-SOG-6619	n	Y	15.553	-123.808121	49.213817	no_data	no_data	no_data	no_data	no_data	30	8.41	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	3.6463464	10.9	no_data	no_data	no_data	SOG6	no_data	Sea
E-b-WV-2-Aug	E-WV-Aug-2014	n	Y	17.9	-123.274147	49.355801	no_data	no_data	no_data	no_data	no_data	20	7.91	no_data	2014	s	prime	no_data	8	14	no_data	no_data	M	no_data	5.245058	8.82	no_data	no_data	no_data	WestVan	no_data	Sea
TI7A	E-TI-2014	n	Y	24.3	-123.10633	49.021125	no_data	no_data	no_data	no_data	no_data	22.5	7.98	no_data	2014	s	prime	no_data	7	31	no_data	no_data	M	no_data	1.455	9.43	no_data	no_data	no_data	TsawwassenIndian	no_data	Sea
D7B	E-DU-Jula-2014	n	Y	19.9	-123.182512	49.332475	no_data	no_data	no_data	no_data	no_data	11	8.49	no_data	2014	s	prime	no_data	7	28	no_data	no_data	M	no_data	5.51	11.1	no_data	no_data	no_data	Dundarave	no_data	Sea
D7C	E-DU-Jula-2014	n	Y	19.9	-123.182512	49.332475	no_data	no_data	no_data	no_data	no_data	11	8.49	no_data	2014	s	prime	no_data	7	28	no_data	no_data	M	no_data	5.51	11.1	no_data	no_data	no_data	Dundarave	no_data	Sea
E-f-TL-2-Aug	E-TL-Aug-2014	n	Y	20.9	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	6.33	no_data	2014	s	prime	no_data	8	15	no_data	no_data	M	no_data	26.00552	3.57	no_data	no_data	no_data	TroutLake	no_data	Lake
D7A	E-DU-Jula-2014	n	Y	19.9	-123.182512	49.332475	no_data	no_data	no_data	no_data	no_data	11	8.49	no_data	2014	s	prime	no_data	7	28	no_data	no_data	M	no_data	5.51	11.1	no_data	no_data	no_data	Dundarave	no_data	Sea
E-b-DU-1-Jul-a	E-DU-Jul-2014	n	Y	20.09	-123.182512	49.332475	no_data	no_data	no_data	no_data	no_data	15	8.04	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	5.518543	9.02	no_data	no_data	no_data	Dundarave	no_data	Sea
E-s-PM-2-Jul-a	E-PM-Jul-2014	n	Y	24.8	-122.889158	49.291693	no_data	no_data	no_data	no_data	no_data	21	8.3	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	1.824538	10.1	no_data	no_data	no_data	PortMoody	no_data	Sea
R-wp-6-23-r1	E-WP-623	n	Y	17.1	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	0.5	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	1.0940824	10.18	no_data	no_data	no_data	WellingtonPoint	no_data	River
R-wp-6-23-r2	E-WP-623	n	Y	17.1	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	0.5	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	1.1904616	10.18	no_data	no_data	no_data	WellingtonPoint	no_data	River
R-wp-6-23-r3	E-WP-623	n	Y	17.1	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	0.5	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	1.1904616	10.18	no_data	no_data	no_data	WellingtonPoint	no_data	River
S-st-4-4-24-r1	E-SOG-4424	n	Y	10.51	-123.44757	49.101894	no_data	no_data	no_data	no_data	no_data	15	8.3	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.8691976	NA	no_data	no_data	no_data	SOG4	no_data	Plume
E-b-DU-3-Jul-a	E-DU-Jul-2014	n	Y	20.09	-123.182512	49.332475	no_data	no_data	no_data	no_data	no_data	15	8.04	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	5.518543	9.02	no_data	no_data	no_data	Dundarave	no_data	Sea
S-st-4-4-24-r3	E-SOG-4424	n	Y	10.61	-123.44757	49.101894	no_data	no_data	no_data	no_data	no_data	15	8.3	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.9495136	NA	no_data	no_data	no_data	SOG4	no_data	Plume
S-st-4-4-24-r2	E-SOG-4424	n	Y	10.59	-123.44757	49.101894	no_data	no_data	no_data	no_data	no_data	15	8.3	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.9495136	NA	no_data	no_data	no_data	SOG4	no_data	Plume
S-st-2-5-27-r3	E-SOG-2527	n	Y	12.1	-123.280155	49.023428	no_data	no_data	no_data	no_data	no_data	7	8.16	no_data	2015	s	prime	no_data	5	27	no_data	no_data	F	no_data	0.455124	10.1	no_data	no_data	no_data	SOG2	no_data	Plume
R-Ls-6-23-r2	E-LS-623	n	Y	19.1	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	0	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	3.2287032	9.15	no_data	no_data	no_data	LadnerSlough	no_data	River
E-s-PM-1-Aug	E-PM-Aug-2014	n	Y	18.8	-122.889158	49.291693	no_data	no_data	no_data	no_data	no_data	25	7.85	no_data	2014	s	prime	no_data	8	13	no_data	no_data	M	no_data	13.43008	6.9	no_data	no_data	no_data	PortMoody	no_data	Sea
