Taxa	Fresh	Brackish	Marine	total
D_2__DeltaproteobacteriaD_3__PB19	NA	NA	NA	9
D_2__Subgroup 6D_3__uncultured Acidobacteria bacterium	NA	NA	NA	5
D_2__uncultured Candidatus Marinimicrobia bacteriumD_3__uncultured Candidatus Marinimicrobia bacterium	NA	NA	NA	1
D_2__MelainabacteriaD_3__Caenarcaniphilales	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__Enterobacteriales	NA	NA	NA	11
D_2__AcidimicrobiiaD_3__IMCC26256	NA	1	NA	4
D_2__BabeliaeD_3__Babeliales	NA	NA	NA	3
D_2__Subgroup 6D_3__uncultured actinobacterium	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__Legionellales	NA	NA	NA	11
D_2__FibrobacteriaD_3__Fibrobacterales	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__Francisellales	NA	NA	NA	2
D_2__Subgroup 6D_3__uncultured bacterium KM3-25-B4	NA	NA	NA	1
D_2__PlanctomycetaciaD_3__Isosphaerales	NA	NA	NA	1
D_2__ParcubacteriaD_3__Candidatus Campbellbacteria	NA	NA	NA	2
D_2__IgnavibacteriaD_3__OPB56	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__Thiohalorhabdales	NA	NA	NA	12
D_2__RhodothermiaD_3__Rhodothermales	NA	NA	NA	4
D_2__RhodothermiaD_3__Balneolales	NA	1	NA	7
D_2__AlphaproteobacteriaD_3__Paracaedibacterales	NA	NA	NA	11
D_2__ABY1D_3__Candidatus Komeilibacteria	NA	NA	NA	5
D_2__FusobacteriiaD_3__Fusobacteriales	NA	NA	NA	3
D_2__DeltaproteobacteriaD_3__Syntrophobacterales	NA	NA	NA	2
D_2__BacilliD_3__Lactobacillales	NA	NA	NA	8
D_2__hydrothermal vent metagenomeD_3__hydrothermal vent metagenome	NA	NA	NA	1
D_2__MollicutesD_3__Acholeplasmatales	NA	NA	NA	3
D_2__ABY1D_3__Candidatus Magasanikbacteria	NA	NA	NA	3
D_2__IgnavibacteriaD_3__Ignavibacteriales	NA	NA	NA	7
D_2__DadabacteriiaD_3__Dadabacteriales	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__Diplorickettsiales	NA	NA	NA	2
D_2__LentisphaeriaD_3__Victivallales	NA	NA	NA	2
D_2__WoesearchaeiaD_3__uncultured euryarchaeote	NA	NA	NA	1
D_2__PhycisphaeraeD_3__S-70	NA	NA	NA	1
D_2__HolophagaeD_3__Holophagales	NA	NA	NA	2
D_2__ZetaproteobacteriaD_3__Mariprofundales	NA	NA	NA	2
D_2__ParcubacteriaD_3__Candidatus Kaiserbacteria	NA	NA	NA	4
D_2__GammaproteobacteriaD_3__CH2b56	NA	NA	NA	4
D_2__GammaproteobacteriaD_3__Chromatiales	NA	NA	NA	2
D_2__DeltaproteobacteriaD_3__Desulfuromonadales	NA	NA	NA	7
D_2__ThermoleophiliaD_3__Solirubrobacterales	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__BD7-8	NA	NA	NA	3
D_2__ABY1D_3__Candidatus Kerfeldbacteria	NA	NA	NA	1
D_2__VerrucomicrobiaeD_3__Arctic97B-4 marine group	NA	NA	NA	7
D_2__GammaproteobacteriaD_3__Aeromonadales	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__JTB23	NA	NA	NA	6
D_2__ABY1D_3__Candidatus Uhrbacteria	NA	NA	NA	7
D_2__GracilibacteriaD_3__JGI 0000069-P22	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__Salinisphaerales	NA	NA	NA	2
D_2__marine metagenomeD_3__marine metagenome	NA	1	NA	11
D_2__ActinobacteriaD_3__Propionibacteriales	NA	NA	NA	11
D_2__VerrucomicrobiaeD_3__Methylacidiphilales	1	NA	NA	3
D_2__AlphaproteobacteriaD_3__Sneathiellales	NA	NA	NA	4
D_2__AlphaproteobacteriaD_3__Elsterales	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__Milano-WF1B-44	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__B2M28	NA	NA	NA	5
D_2__PlanctomycetaciaD_3__Gemmatales	1	NA	NA	2
D_2__GammaproteobacteriaD_3__HOC36	NA	NA	NA	3
D_2__JG30-KF-CM66D_3__uncultured Chloroflexi bacterium	NA	NA	NA	3
D_2__Subgroup 6D_3__metagenome	NA	NA	NA	6
D_2__GammaproteobacteriaD_3__Acidiferrobacterales	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__JG36-TzT-191	NA	NA	NA	2
D_2__NitriliruptoriaD_3__Nitriliruptorales	NA	NA	NA	1
D_2__ChloroflexiaD_3__Chloroflexales	NA	NA	NA	2
D_2__GracilibacteriaD_3__Candidatus Peregrinibacteria	NA	NA	NA	2
D_2__GracilibacteriaD_3__Absconditabacteriales (SR1)	NA	NA	NA	2
D_2__AnaerolineaeD_3__SBR1031	NA	NA	NA	1
D_2__uncultured Acidobacterium sp.D_3__uncultured Acidobacterium sp.	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__HgCo23	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__Tenderiales	NA	1	NA	3
D_2__ParcubacteriaD_3__GWA2-38-13b	NA	NA	NA	1
D_2__OligosphaeriaD_3__Oligosphaerales	NA	NA	NA	2
D_2__LeptospiraeD_3__Leptospirales	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__Micavibrionales	NA	NA	NA	1
D_2__NegativicutesD_3__Selenomonadales	NA	NA	NA	1
D_2__DeltaproteobacteriaD_3__Sva0485	NA	NA	NA	5
D_2__ABY1D_3__Candidatus Falkowbacteria	NA	NA	NA	1
D_2__ParcubacteriaD_3__Candidatus Moranbacteria	NA	NA	NA	1
D_2__MollicutesD_3__Mycoplasmatales	NA	NA	NA	1
D_2__GracilibacteriaD_3__Candidatus Peribacteria	NA	NA	NA	2
D_2__AlphaproteobacteriaD_3__Holosporales	NA	NA	NA	4
D_2__uncultured eubacterium OCS307D_3__uncultured eubacterium OCS307	NA	NA	NA	1
D_2__AnaerolineaeD_3__Caldilineales	NA	NA	NA	1
D_2__HolophagaeD_3__Subgroup 7	NA	NA	NA	1
D_2__Marinimicrobia bacterium JGI 0000113-D11D_3__Marinimicrobia bacterium JGI 0000113-D11	NA	NA	NA	1
D_2__OM190D_3__uncultured deep-sea bacterium	NA	NA	NA	1
D_2__CloacimonadiaD_3__Cloacimonadales	NA	NA	NA	1
D_2__CalditrichiaD_3__Calditrichales	NA	NA	NA	1
D_2__NitriliruptoriaD_3__Euzebyales	NA	NA	NA	1
D_2__BD2-11 terrestrial groupD_3__uncultured Gemmatimonadetes bacterium	NA	NA	NA	1
D_2__OmnitrophiaD_3__Omnitrophales	NA	NA	NA	2
D_2__uncultured gamma proteobacteriumD_3__uncultured gamma proteobacterium	NA	NA	NA	1
D_2__AnaerolineaeD_3__Ardenticatenales	NA	NA	NA	1
D_2__ArmatimonadiaD_3__Armatimonadales	NA	NA	NA	1
D_2__BD2-11 terrestrial groupD_3__uncultured marine bacterium Ant4D5	NA	NA	NA	1
D_2__KD4-96D_3__uncultured Anaerolineaceae bacterium	NA	NA	NA	1
D_2__MelainabacteriaD_3__Vampirovibrionales	NA	NA	NA	1
D_2__DehalococcoidiaD_3__MSBL5	NA	NA	NA	1
D_2__DeltaproteobacteriaD_3__MBNT15	NA	NA	NA	2
D_2__DeltaproteobacteriaD_3__RCP2-54	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__UBA4486	NA	NA	NA	1
D_2__ActinobacteriaD_3__Streptomycetales	NA	NA	1	1
D_2__ParcubacteriaD_3__Candidatus Nomurabacteria	NA	NA	NA	1
D_2__MelainabacteriaD_3__Obscuribacterales	NA	NA	NA	1
