Taxa	Fresh	Brackish	Marine	total
D_2__GammaproteobacteriaD_3__KI89A cladeD_4__marine gamma proteobacterium HTCC2089	NA	1	NA	1
D_2__DehalococcoidiaD_3__SAR202 cladeD_4__marine metagenome	NA	1	NA	32
D_2__DeltaproteobacteriaD_3__MyxococcalesD_4__Sandaracinaceae	NA	NA	NA	7
D_2__uncultured bacterium MB13C05D_3__uncultured bacterium MB13C05D_4__uncultured bacterium MB13C05	NA	NA	NA	1
D_2__ActinobacteriaD_3__CorynebacterialesD_4__Mycobacteriaceae	NA	1	NA	21
D_2__SaccharimonadiaD_3__SaccharimonadalesD_4__uncultured candidate division WS5 bacterium	NA	NA	NA	1
D_2__BacteroidiaD_3__CytophagalesD_4__Bernardetiaceae	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__OM182 cladeD_4__marine gamma proteobacterium HTCC2151	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__PasteurellalesD_4__Pasteurellaceae	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__ThiomicrospiralesD_4__Thioglobaceae	NA	0.2	0.8	27
D_2__OM190D_3__uncultured planctomyceteD_4__uncultured planctomycete	NA	1	NA	3
D_2__AlphaproteobacteriaD_3__ReyranellalesD_4__Reyranellaceae	NA	1	NA	5
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__Devosiaceae	NA	NA	NA	9
D_2__GammaproteobacteriaD_3__CellvibrionalesD_4__Porticoccaceae	NA	0.666666666666667	0.333333333333333	47
D_2__ActinobacteriaD_3__CorynebacterialesD_4__Nocardiaceae	NA	NA	NA	9
D_2__GracilibacteriaD_3__uncultured Flavobacterium sp.D_4__uncultured Flavobacterium sp.	NA	NA	NA	1
D_2__BacteroidiaD_3__CytophagalesD_4__Microscillaceae	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__OceanospirillalesD_4__Halomonadaceae	NA	NA	NA	22
D_2__CampylobacteriaD_3__CampylobacteralesD_4__Sulfurovaceae	NA	NA	NA	9
D_2__LongimicrobiaD_3__LongimicrobialesD_4__Longimicrobiaceae	NA	NA	NA	1
D_2__HydrogenedentiaD_3__HydrogenedentialesD_4__Hydrogenedensaceae	NA	NA	NA	5
D_2__GemmatimonadetesD_3__GemmatimonadalesD_4__Gemmatimonadaceae	NA	NA	NA	6
D_2__AlphaproteobacteriaD_3__RickettsialesD_4__AB1	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__BetaproteobacterialesD_4__Rhodocyclaceae	NA	NA	NA	9
D_2__LentisphaeriaD_3__LentisphaeralesD_4__Lentisphaeraceae	NA	NA	NA	2
D_2__BacteroidiaD_3__ChitinophagalesD_4__Chitinophagaceae	1	NA	NA	24
D_2__ClostridiaD_3__ClostridialesD_4__Clostridiaceae 1	NA	NA	NA	3
D_2__ClostridiaD_3__ClostridialesD_4__Christensenellaceae	NA	NA	NA	4
D_2__OxyphotobacteriaD_3__PseudanabaenalesD_4__Pseudanabaenaceae	NA	NA	NA	4
D_2__KiritimatiellaeD_3__WCHB1-41D_4__uncultured Verrucomicrobia bacterium	NA	NA	NA	4
D_2__DeltaproteobacteriaD_3__OligoflexalesD_4__053A03-B-DI-P58	NA	NA	NA	3
D_2__Subgroup 6D_3__uncultured Acidobacteria bacteriumD_4__uncultured Acidobacteria bacterium	NA	NA	NA	5
D_2__AcidimicrobiiaD_3__ActinomarinalesD_4__Actinomarinaceae	NA	NA	1	19
D_2__uncultured Candidatus Marinimicrobia bacteriumD_3__uncultured Candidatus Marinimicrobia bacteriumD_4__uncultured Candidatus Marinimicrobia bacterium	NA	NA	NA	1
D_2__MelainabacteriaD_3__CaenarcaniphilalesD_4__uncultured cyanobacterium	NA	NA	NA	2
D_2__OxyphotobacteriaD_3__NostocalesD_4__Microcystaceae	NA	NA	NA	5
D_2__GammaproteobacteriaD_3__EnterobacterialesD_4__Enterobacteriaceae	NA	NA	NA	11
D_2__BabeliaeD_3__BabelialesD_4__Babeliaceae	NA	NA	NA	2
D_2__Subgroup 6D_3__uncultured actinobacteriumD_4__uncultured actinobacterium	NA	1	NA	7
D_2__AlphaproteobacteriaD_3__unculturedD_4__uncultured alpha proteobacterium	NA	NA	NA	7
D_2__GammaproteobacteriaD_3__LegionellalesD_4__Legionellaceae	NA	NA	NA	11
D_2__GammaproteobacteriaD_3__BetaproteobacterialesD_4__Gallionellaceae	NA	NA	NA	3
D_2__FibrobacteriaD_3__FibrobacteralesD_4__Fibrobacteraceae	NA	NA	NA	1
D_2__CampylobacteriaD_3__CampylobacteralesD_4__Arcobacteraceae	NA	NA	NA	12
D_2__GammaproteobacteriaD_3__FrancisellalesD_4__Francisellaceae	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__OceanospirillalesD_4__Marinomonadaceae	NA	NA	NA	3
D_2__Subgroup 6D_3__uncultured bacterium KM3-25-B4D_4__uncultured bacterium KM3-25-B4	NA	NA	NA	1
D_2__PlanctomycetaciaD_3__IsosphaeralesD_4__Isosphaeraceae	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__ThiohalorhabdalesD_4__Thiohalorhabdaceae	NA	NA	NA	12
D_2__GammaproteobacteriaD_3__CellvibrionalesD_4__Cellvibrionaceae	NA	NA	NA	5
D_2__VerrucomicrobiaeD_3__VerrucomicrobialesD_4__Verrucomicrobiaceae	NA	NA	NA	11
D_2__AlphaproteobacteriaD_3__ParvibaculalesD_4__Parvibaculaceae	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__AlteromonadalesD_4__Psychromonadaceae	NA	NA	NA	6
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__Beijerinckiaceae	NA	NA	NA	21
D_2__RhodothermiaD_3__RhodothermalesD_4__Rhodothermaceae	NA	NA	NA	4
D_2__RhodothermiaD_3__BalneolalesD_4__Balneolaceae	NA	1	NA	7
D_2__AlphaproteobacteriaD_3__ParacaedibacteralesD_4__Paracaedibacteraceae	NA	NA	NA	11
D_2__DeltaproteobacteriaD_3__BdellovibrionalesD_4__Bacteriovoracaceae	NA	NA	NA	4
D_2__AlphaproteobacteriaD_3__RickettsialesD_4__S25-593	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__OceanospirillalesD_4__Litoricolaceae	NA	1	NA	5
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__C2U	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__SAR11 cladeD_4__Clade IV	NA	1	NA	6
D_2__DeltaproteobacteriaD_3__DesulfobacteralesD_4__Desulfobulbaceae	NA	1	NA	13
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__Methyloligellaceae	NA	NA	NA	5
D_2__ThermoplasmataD_3__Marine Group IID_4__uncultured marine group II euryarchaeote	NA	NA	NA	1
D_2__BacteroidiaD_3__FlavobacterialesD_4__Schleiferiaceae	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__SAR86 cladeD_4__uncultured SAR86 cluster bacterium	NA	NA	NA	8
D_2__FusobacteriiaD_3__FusobacterialesD_4__Fusobacteriaceae	NA	NA	NA	3
D_2__BacteroidiaD_3__SphingobacterialesD_4__KD3-93	NA	NA	NA	2
D_2__DeltaproteobacteriaD_3__SyntrophobacteralesD_4__Syntrophobacteraceae	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__OceanospirillalesD_4__Alcanivoracaceae	NA	NA	NA	14
D_2__GammaproteobacteriaD_3__EctothiorhodospiralesD_4__Thioalkalispiraceae	NA	NA	NA	1
D_2__ClostridiaD_3__ClostridialesD_4__Lachnospiraceae	NA	NA	NA	2
D_2__BacilliD_3__LactobacillalesD_4__Streptococcaceae	NA	NA	NA	6
D_2__hydrothermal vent metagenomeD_3__hydrothermal vent metagenomeD_4__hydrothermal vent metagenome	NA	NA	NA	6
D_2__BacteroidiaD_3__BacteroidalesD_4__Marinifilaceae	NA	NA	NA	2
D_2__MollicutesD_3__AcholeplasmatalesD_4__Acholeplasmataceae	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__NitrosococcalesD_4__Methylophagaceae	NA	NA	NA	9
D_2__IgnavibacteriaD_3__IgnavibacterialesD_4__PHOS-HE36	NA	NA	NA	5
D_2__DeltaproteobacteriaD_3__OligoflexalesD_4__Oligoflexaceae	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__DiplorickettsialesD_4__Diplorickettsiaceae	NA	NA	NA	2
D_2__LentisphaeriaD_3__VictivallalesD_4__Arctic95B-14	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__SAR86 cladeD_4__uncultured Oceanospirillales bacterium	NA	NA	NA	1
D_2__WoesearchaeiaD_3__uncultured euryarchaeoteD_4__uncultured euryarchaeote	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__RhodospirillalesD_4__Terasakiellaceae	NA	NA	NA	1
D_2__HolophagaeD_3__HolophagalesD_4__Holophagaceae	NA	NA	NA	2
D_2__ZetaproteobacteriaD_3__MariprofundalesD_4__Mariprofundaceae	NA	NA	NA	2
D_2__ActinobacteriaD_3__CorynebacterialesD_4__Dietziaceae	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__ChromatialesD_4__Sedimenticolaceae	NA	NA	NA	2
D_2__DeltaproteobacteriaD_3__DesulfuromonadalesD_4__Geobacteraceae	NA	NA	NA	3
D_2__ThermoleophiliaD_3__GaiellalesD_4__Gaiellaceae	NA	NA	NA	2
D_2__OxyphotobacteriaD_3__NostocalesD_4__Phormidiaceae	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__SAR86 cladeD_4__uncultured gamma proteobacterium NAC11-19	NA	NA	NA	1
D_2__ThermoleophiliaD_3__SolirubrobacteralesD_4__67-14	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__BD7-8D_4__Olavius ilvae Gamma 3 endosymbiont	NA	NA	NA	1
D_2__ActinobacteriaD_3__PeM15D_4__uncultured Actinomycetales bacterium	NA	1	NA	2
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__Xanthobacteraceae	NA	NA	NA	5
D_2__SaccharimonadiaD_3__SaccharimonadalesD_4__uncultured soil bacterium	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__AeromonadalesD_4__Aeromonadaceae	NA	NA	NA	3
D_2__BacteroidiaD_3__SphingobacterialesD_4__Sphingobacteriaceae	NA	NA	NA	8
D_2__AlphaproteobacteriaD_3__unculturedD_4__uncultured Pelagibacterales bacterium	NA	NA	NA	1
D_2__IgnavibacteriaD_3__IgnavibacterialesD_4__Ignavibacteriaceae	NA	NA	NA	1
D_2__ActinobacteriaD_3__FrankialesD_4__Geodermatophilaceae	NA	NA	NA	3
D_2__VerrucomicrobiaeD_3__ChthoniobacteralesD_4__Chthoniobacteraceae	0.333333333333333	0.666666666666667	NA	7
D_2__GammaproteobacteriaD_3__AlteromonadalesD_4__Moritellaceae	NA	NA	NA	2
D_2__DehalococcoidiaD_3__SAR202 cladeD_4__uncultured Chloroflexi bacterium	NA	1	NA	11
D_2__BacteroidiaD_3__FlavobacterialesD_4__NS7 marine group	NA	NA	NA	9
D_2__PhycisphaeraeD_3__PhycisphaeralesD_4__AKAU3564 sediment group	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__SalinisphaeralesD_4__Salinisphaeraceae	NA	NA	NA	2
D_2__BacteroidiaD_3__SphingobacterialesD_4__Lentimicrobiaceae	NA	1	NA	4
D_2__ActinobacteriaD_3__PropionibacterialesD_4__Nocardioidaceae	NA	NA	NA	10
D_2__AcidimicrobiiaD_3__IMCC26256D_4__Actinobacteria bacterium IMCC26256	NA	NA	NA	1
D_2__ActinobacteriaD_3__FrankialesD_4__Nakamurellaceae	NA	NA	NA	1
D_2__VerrucomicrobiaeD_3__MethylacidiphilalesD_4__Methylacidiphilaceae	1	NA	NA	3
D_2__AlphaproteobacteriaD_3__ThalassobaculalesD_4__Oceanibaculaceae	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__SneathiellalesD_4__Sneathiellaceae	NA	NA	NA	4
D_2__ActinobacteriaD_3__CorynebacterialesD_4__Corynebacteriaceae	NA	NA	NA	4
D_2__GammaproteobacteriaD_3__SAR86 cladeD_4__uncultured gamma proteobacterium MB11B08	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__ElsteralesD_4__Elsteraceae	NA	NA	NA	2
D_2__AlphaproteobacteriaD_3__RhizobialesD_4__KF-JG30-B3	NA	NA	NA	3
D_2__GammaproteobacteriaD_3__Milano-WF1B-44D_4__uncultured sediment bacterium	NA	NA	NA	4
D_2__ActinobacteriaD_3__PropionibacterialesD_4__Propionibacteriaceae	NA	NA	NA	1
D_2__PlanctomycetaciaD_3__GemmatalesD_4__Gemmataceae	1	NA	NA	2
D_2__GammaproteobacteriaD_3__AlteromonadalesD_4__Idiomarinaceae	NA	NA	NA	9
D_2__PlanctomycetaciaD_3__PlanctomycetalesD_4__Schlesneriaceae	NA	NA	NA	2
D_2__BacteroidiaD_3__BacteroidalesD_4__Prolixibacteraceae	NA	1	NA	2
D_2__AlphaproteobacteriaD_3__CaulobacteralesD_4__Parvularculaceae	NA	NA	NA	4
D_2__AlphaproteobacteriaD_3__unculturedD_4__uncultured Rhizobiales bacterium	NA	NA	NA	1
D_2__BacteroidiaD_3__SphingobacterialesD_4__AKYH767	NA	NA	NA	2
D_2__LentisphaeriaD_3__VictivallalesD_4__BD2-3	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__AcidiferrobacteralesD_4__Acidiferrobacteraceae	NA	NA	NA	1
D_2__NitriliruptoriaD_3__NitriliruptoralesD_4__Nitriliruptoraceae	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__RhodospirillalesD_4__Thalassospiraceae	NA	NA	NA	4
D_2__DeltaproteobacteriaD_3__DesulfuromonadalesD_4__Desulfuromonadaceae	NA	NA	NA	2
D_2__AlphaproteobacteriaD_3__AcetobacteralesD_4__Acetobacterales Incertae Sedis	NA	NA	NA	1
D_2__BacilliD_3__LactobacillalesD_4__Carnobacteriaceae	NA	NA	NA	1
D_2__ChloroflexiaD_3__ChloroflexalesD_4__Roseiflexaceae	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__SAR86 cladeD_4__uncultured gamma proteobacterium MB11E02	NA	NA	NA	1
D_2__VerrucomicrobiaeD_3__unculturedD_4__Aphanizomenon flos-aquae WA102	NA	NA	NA	1
D_2__DeltaproteobacteriaD_3__SAR324 clade(Marine group B)D_4__uncultured SAR324 cluster bacterium	NA	1	NA	1
D_2__BacteroidiaD_3__FlavobacterialesD_4__Weeksellaceae	NA	NA	NA	4
D_2__GammaproteobacteriaD_3__SAR86 cladeD_4__uncultured gamma proteobacterium KTc1112	NA	NA	NA	1
D_2__SaccharimonadiaD_3__SaccharimonadalesD_4__Saccharimonadaceae	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__ThalassobaculalesD_4__Thalassobaculaceae	NA	1	NA	4
D_2__DeltaproteobacteriaD_3__MyxococcalesD_4__P3OB-42	NA	NA	NA	1
D_2__AnaerolineaeD_3__SBR1031D_4__A4b	NA	NA	NA	1
D_2__uncultured Acidobacterium sp.D_3__uncultured Acidobacterium sp.D_4__uncultured Acidobacterium sp.	NA	NA	NA	1
D_2__GammaproteobacteriaD_3__TenderialesD_4__Tenderiaceae	NA	1	NA	3
D_2__BacteroidiaD_3__BacteroidalesD_4__Prevotellaceae	NA	NA	NA	1
D_2__IgnavibacteriaD_3__IgnavibacterialesD_4__Melioribacteraceae	NA	NA	NA	1
D_2__DeltaproteobacteriaD_3__DesulfuromonadalesD_4__Sva1033	NA	NA	NA	2
D_2__OligosphaeriaD_3__OligosphaeralesD_4__Lenti-02	NA	NA	NA	2
D_2__LeptospiraeD_3__LeptospiralesD_4__Leptospiraceae	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__MicavibrionalesD_4__Micavibrionaceae	NA	NA	NA	1
D_2__NegativicutesD_3__SelenomonadalesD_4__Veillonellaceae	NA	NA	NA	1
D_2__BacteroidiaD_3__Bacteroidetes VC2.1 Bac22D_4__uncultured Bacteroidetes bacterium	NA	1	NA	2
D_2__MollicutesD_3__MycoplasmatalesD_4__Mycoplasmataceae	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__ParvibaculalesD_4__PS1 clade	NA	NA	NA	2
D_2__GammaproteobacteriaD_3__OM182 cladeD_4__OM182 bacterium D4	NA	NA	NA	1
D_2__AlphaproteobacteriaD_3__HolosporalesD_4__Holosporaceae	NA	NA	NA	4
