#OTUID	E-DS-623	E-JT-526	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-SOG-3619	E-SOG-6527	E-SOG-5527	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-SOG-2527	E-LH-2016	E-BP-2016	E-PM-Aug-2013	E-TI-2014	E-SOG-6424	E-JP-2016	E-SOG-2619	E-FR-2014	E-LS-428	E-SOG-7424	E-WV-Aug-2014	E-WC-2016	E-SOG-1527	E-WV-7-2014	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-PM-7-2014	E-MT-526	E-Tca-2014	E-WP-526	E-PM-2016	E-SOG-4424	E-WP-623	E-SOG-4527	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-JT-623	E-DU-7-2014	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-MT-428	E-TC-2014	E-TL-7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424	taxonomy
EU799803.1.1257	0.0	0.0	0.0	0.0	0.0	648.0	0.0	0.0	38.0	118.0	11.0	0.0	16.0	72.0	223.0	872.0	493.0	251.0	290.0	753.0	370.0	349.0	0.0	13.0	1167.0	274.0	108.0	1459.0	1864.0	0.0	882.0	115.0	493.0	0.0	0.0	10.0	195.0	869.0	0.0	2357.0	42.0	91.0	263.0	1098.0	8.0	10870.0	0.0	988.0	0.0	0.0	4182.0	0.0	6.0	241.0	854.0	27.0	1536.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Puniceispirillales; D_4__SAR116 clade; D_5__uncultured bacterium; D_6__uncultured bacterium
GU451672.1.1244	0.0	0.0	0.0	0.0	0.0	2166.0	0.0	0.0	169.0	155.0	196.0	0.0	47.0	5020.0	757.0	2965.0	2465.0	2941.0	7114.0	103.0	1996.0	1009.0	0.0	5.0	282.0	515.0	1419.0	3819.0	5829.0	0.0	2519.0	1044.0	6113.0	0.0	0.0	55.0	1143.0	251.0	0.0	3770.0	11.0	17.0	1150.0	388.0	10.0	12981.0	0.0	4416.0	0.0	0.0	32082.0	7.0	14.0	77.0	344.0	127.0	234.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__NS3a marine group; D_6__uncultured bacterium
GU940685.1.1378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	14.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	5.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Cryomorphaceae; D_5__uncultured; D_6__uncultured bacterium
KF650388.1.1466	1186.0	2223.0	3332.0	5.0	24.0	18.0	4675.0	148.0	97.0	13.0	66.0	505.0	20.0	0.0	4642.0	131.0	150.0	0.0	0.0	340.0	26.0	2384.0	1082.0	5931.0	129.0	0.0	44.0	2096.0	9.0	5860.0	0.0	0.0	0.0	3130.0	8396.0	2813.0	0.0	4565.0	1758.0	1610.0	6653.0	7835.0	64.0	447.0	1548.0	86.0	75.0	12.0	1842.0	1317.0	0.0	7789.0	3050.0	3669.0	2146.0	0.0	733.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Spirosomaceae; D_5__Pseudarcicella; D_6__uncultured bacterium
AY165580.1.1358	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	19.0	53.0	63.0	0.0	28.0	301.0	110.0	48.0	37.0	16.0	0.0	1415.0	22.0	106.0	0.0	7.0	2324.0	5.0	26.0	715.0	0.0	0.0	34.0	0.0	201.0	0.0	7.0	0.0	13.0	545.0	0.0	29.0	22.0	74.0	13.0	943.0	0.0	0.0	0.0	0.0	0.0	0.0	843.0	0.0	0.0	129.0	583.0	108.0	2151.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__Polaribacter 1; D_6__uncultured Antarctic sea ice bacterium
FJ826012.1.1300	0.0	0.0	0.0	0.0	0.0	1176.0	0.0	0.0	242.0	350.0	55.0	0.0	97.0	519.0	616.0	1704.0	1129.0	2170.0	1077.0	870.0	700.0	663.0	0.0	0.0	1103.0	316.0	416.0	3087.0	750.0	0.0	1270.0	187.0	3154.0	0.0	0.0	10.0	497.0	493.0	0.0	1557.0	19.0	42.0	660.0	905.0	16.0	1079.0	0.0	843.0	0.0	0.0	24165.0	0.0	5.0	174.0	659.0	145.0	1217.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Cryomorphaceae; D_5__uncultured; D_6__uncultured marine bacterium
KP687207.1.1452	17.0	31.0	40.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	70.0	27.0	0.0	0.0	6.0	17.0	0.0	91.0	0.0	0.0	0.0	49.0	1685.0	40.0	0.0	13.0	37.0	7.0	32.0	38.0	0.0	0.0	31.0	0.0	9.0	0.0	54.0	14.0	0.0	1587.0	54.0	15.0	8.0	0.0	8.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__NS9 marine group; D_5__uncultured bacterium; D_6__uncultured bacterium
FJ802321.1.1209	17.0	0.0	5.0	25.0	6.0	0.0	10.0	75.0	7.0	0.0	0.0	23.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	99.0	20.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	14.0	875.0	7.0	0.0	10.0	44.0	0.0	13.0	22.0	6.0	0.0	62.0	0.0	14.0	0.0	28.0	0.0	0.0	1317.0	10.0	9.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Acidovorax; D_6__iron-reducing bacterium enrichment culture clone FEA_2_G5
AY697901.1.1458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	18.0	0.0	7.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Epsilonbacteraeota; D_2__Campylobacteria; D_3__Campylobacterales; D_4__Arcobacteraceae; D_5__Arcobacter; D_6__uncultured Arcobacter sp.
FR684711.1.1501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	7.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Oceanospirillales; D_4__Pseudohongiellaceae; D_5__Pseudohongiella; D_6__uncultured marine bacterium
DQ071072.1.1443	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	46.0	107.0	5.0	0.0	25.0	12.0	16.0	85.0	45.0	441.0	0.0	293.0	35.0	79.0	0.0	0.0	534.0	230.0	14.0	185.0	14.0	0.0	72.0	16.0	199.0	0.0	0.0	0.0	30.0	241.0	0.0	107.0	10.0	25.0	25.0	455.0	0.0	16.0	0.0	20.0	0.0	0.0	9.0	0.0	0.0	68.0	251.0	68.0	470.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__Ulvibacter; D_6__uncultured marine bacterium
JF927245.1.1203	0.0	0.0	0.0	0.0	0.0	1478.0	5.0	0.0	61.0	221.0	21.0	0.0	75.0	187.0	16.0	388.0	369.0	4165.0	381.0	165.0	908.0	865.0	9.0	17.0	440.0	1650.0	102.0	126.0	1578.0	7.0	1856.0	1176.0	130.0	0.0	0.0	5.0	121.0	390.0	0.0	255.0	44.0	129.0	117.0	558.0	98.0	4360.0	0.0	3355.0	0.0	0.0	4142.0	0.0	0.0	118.0	345.0	300.0	439.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade I; D_5__Clade Ia; D_6__uncultured marine bacterium
EU800923.1.1268	1631.0	1141.0	2248.0	6.0	42.0	55.0	3028.0	60.0	131.0	5.0	44.0	161.0	27.0	0.0	2845.0	219.0	220.0	0.0	0.0	225.0	25.0	4741.0	3108.0	2899.0	94.0	7.0	84.0	1561.0	0.0	4942.0	0.0	0.0	0.0	2425.0	4048.0	1793.0	0.0	2775.0	2745.0	1310.0	4682.0	4665.0	125.0	281.0	3437.0	131.0	116.0	8.0	2427.0	570.0	0.0	5347.0	3033.0	2401.0	1225.0	10.0	514.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Limnohabitans; D_6__uncultured bacterium
AB930766.1.1445	385.0	363.0	507.0	0.0	0.0	0.0	690.0	28.0	17.0	0.0	5.0	58.0	0.0	0.0	764.0	25.0	24.0	0.0	0.0	33.0	0.0	650.0	572.0	545.0	11.0	0.0	20.0	211.0	0.0	861.0	0.0	0.0	0.0	424.0	3190.0	400.0	0.0	353.0	738.0	171.0	530.0	663.0	21.0	38.0	741.0	8.0	0.0	0.0	1179.0	101.0	0.0	4220.0	553.0	311.0	148.0	0.0	79.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Sphingobacteriales; D_4__NS11-12 marine group; D_5__uncultured bacterium; D_6__uncultured bacterium
KC189761.1.1510	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1986.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3188.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Verrucomicrobiales; D_4__Verrucomicrobiaceae; D_5__Prosthecobacter; D_6__uncultured bacterium
KF384203.1.1275	531.0	457.0	970.0	0.0	135.0	15.0	1055.0	13.0	23.0	0.0	24.0	27.0	0.0	0.0	1723.0	98.0	83.0	0.0	0.0	24.0	20.0	1516.0	834.0	1093.0	7.0	0.0	117.0	810.0	0.0	1478.0	0.0	0.0	0.0	1362.0	2500.0	977.0	0.0	895.0	1172.0	776.0	1209.0	1274.0	111.0	57.0	1181.0	32.0	381.0	0.0	1174.0	198.0	0.0	2274.0	1410.0	720.0	387.0	0.0	102.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Sporichthyaceae; D_5__uncultured bacterium; D_6__uncultured bacterium
FJ240419.1.1203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	215.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	10.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Vibrionales; D_4__Vibrionaceae; D_5__Photobacterium; D_6__Photobacterium leiognathi subsp. mandapamensis
KM588220.1.1386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	29.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2882.0	0.0	80.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Alteromonadales; D_4__Shewanellaceae; D_5__Shewanella; D_6__Shewanella sp. H7
GQ348530.1.1373	0.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	6.0	17.0	0.0	0.0	14.0	256.0	0.0	132.0	108.0	560.0	249.0	0.0	95.0	11.0	0.0	0.0	0.0	50.0	100.0	26.0	28.0	0.0	120.0	53.0	19.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	40.0	0.0	179.0	0.0	0.0	2298.0	0.0	0.0	0.0	0.0	44.0	5.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__Formosa; D_6__uncultured Bacteroidetes bacterium
JQ196066.1.1371	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	5.0	19.0	0.0	0.0	0.0	90.0	9.0	84.0	47.0	265.0	2189.0	0.0	63.0	66.0	0.0	0.0	0.0	146.0	13.0	59.0	608.0	0.0	205.0	30.0	132.0	0.0	0.0	0.0	25.0	0.0	0.0	159.0	0.0	0.0	18.0	0.0	0.0	3080.0	0.0	150.0	0.0	0.0	8498.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Oceanospirillales; D_4__Litoricolaceae; D_5__Litoricola; D_6__uncultured bacterium
HM129252.1.1436	87.0	38.0	85.0	0.0	0.0	0.0	50.0	91.0	8.0	0.0	0.0	365.0	0.0	0.0	45.0	19.0	18.0	0.0	0.0	0.0	0.0	106.0	57.0	35.0	0.0	0.0	0.0	12.0	0.0	166.0	0.0	0.0	0.0	62.0	5967.0	73.0	0.0	12.0	148.0	8.0	34.0	32.0	7.0	0.0	91.0	0.0	15.0	0.0	207.0	14.0	0.0	5011.0	52.0	10.0	5.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__Flavobacterium; D_6__uncultured bacterium
FJ744926.1.1329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	5.0	0.0	9.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	34.0	0.0	6.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	6.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__SAR86 clade; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AY386336.1.1352	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	29.0	644.0	74.0	0.0	105.0	0.0	0.0	59.0	20.0	76.0	0.0	171.0	29.0	60.0	0.0	0.0	376.0	38.0	49.0	42.0	117.0	0.0	67.0	39.0	89.0	0.0	0.0	0.0	26.0	101.0	0.0	37.0	0.0	7.0	15.0	162.0	6.0	223.0	0.0	35.0	0.0	0.0	38.0	0.0	0.0	20.0	75.0	236.0	262.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Cellvibrionales; D_4__Halieaceae; D_5__Luminiphilus; D_6__marine gamma proteobacterium HTCC2223
EU799813.1.1466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodospirillales; D_4__Magnetospiraceae; D_5__uncultured; D_6__uncultured bacterium
AACY020497081.1472.2797	0.0	0.0	0.0	0.0	0.0	1235.0	0.0	0.0	0.0	354.0	37.0	0.0	14.0	216.0	0.0	370.0	344.0	2191.0	78.0	97.0	502.0	126.0	0.0	0.0	227.0	551.0	69.0	53.0	741.0	0.0	1356.0	314.0	33.0	0.0	0.0	0.0	41.0	192.0	0.0	36.0	6.0	31.0	126.0	330.0	0.0	2304.0	0.0	428.0	0.0	0.0	1266.0	0.0	0.0	53.0	178.0	73.0	298.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__SAR86 clade; D_4__marine metagenome; D_5__marine metagenome; D_6__marine metagenome
JX537817.1.1330	0.0	0.0	0.0	0.0	0.0	341.0	0.0	0.0	10.0	28.0	12.0	0.0	0.0	96.0	435.0	699.0	428.0	42.0	347.0	273.0	229.0	181.0	0.0	0.0	412.0	67.0	89.0	1287.0	997.0	0.0	556.0	91.0	278.0	0.0	0.0	9.0	101.0	510.0	0.0	2464.0	12.0	24.0	361.0	472.0	0.0	6591.0	0.0	1363.0	0.0	0.0	1876.0	0.0	0.0	169.0	438.0	0.0	566.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__RS62 marine group; D_6__uncultured bacterium
EF659445.1.1376	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	239.0	239.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	162.0	0.0	5.0	33.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	799.0	0.0	289.0	0.0	0.0	823.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae; D_5__uncultured; D_6__uncultured bacterium
KF697416.1.1227	35.0	13.0	31.0	0.0	12.0	0.0	39.0	29.0	0.0	0.0	0.0	14.0	0.0	0.0	36.0	7.0	7.0	0.0	0.0	0.0	0.0	77.0	81.0	34.0	0.0	0.0	0.0	17.0	0.0	287.0	0.0	0.0	0.0	17.0	706.0	13.0	0.0	15.0	39.0	19.0	39.0	44.0	6.0	5.0	64.0	0.0	64.0	0.0	38.0	0.0	0.0	938.0	30.0	13.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Acidovorax; D_6__uncultured bacterium
